program_administrator,fuel_type_funding_source,portfolio,primary_end_use_sector,program_name,nys_clean_heat,new_efficiency_new_york,lmi_market_rate,active_inactive,year,reporting_period,expenditures,reductions,participants
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2015,2015 Q1,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2015,2015 Q2,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2015,2015 Q3,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2015,2015 Q4,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2016,2016 Q1,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2016,2016 Q2,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2016,2016 Q3,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2016,2016 Q4,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2017,2017 Q1,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2017,2017 Q2,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2017,2017 Q3,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2017,2017 Q4,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2018,2018 Q1,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2018,2018 Q2,0,0,NA
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2018,2018 Q3,188.06,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2018,2018 Q4,4092.68,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2019,2019 Q1,51905,2419.51,1
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2019,2019 Q2,8883,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2019,2019 Q3,10203,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2019,2019 Q4,84319,10297.09,2
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2020,2020 Q1,82210,954.2,7
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2020,2020 Q2,5860,292.18,1
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2020,2020 Q3,185903,11618.02,11
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2020,2020 Q4,143044,12491.05,11
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2021,2021 Q1,22970,940.42,1
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2021,2021 Q2,12027,141.84,1
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2021,2021 Q3,99401,4667.27,6
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2021,2021 Q4,104669,4456.39,5
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2022,2022 Q1,17187,87.01,1
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2022,2022 Q2,173935,8194.62,8
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2022,2022 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2022,2022 Q4,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2023,2023 Q1,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2023,2023 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2023,2023 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2023,2023 Q4,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2024,2024 Q1,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2024,2024 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2024,2024 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2024,2024 Q4,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2025,2025 Q1,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2025,2025 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2025,2025 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2025,2025 Q4,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2026,2026 Q1,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2026,2026 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2026,2026 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2026,2026 Q4,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2027,2027 Q1,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2027,2027 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2027,2027 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2027,2027 Q4,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2028,2028 Q1,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2028,2028 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2028,2028 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2028,2028 Q4,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2029,2029 Q1,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2029,2029 Q2,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2029,2029 Q3,0,0,0
CenHud,Electric,EE Portfolio,Commercial,Custom Electric,No,Yes,Market Rate,Active,2029,2029 Q4,0,0,0
